BusinessName,HoldingName
,tropical monsur homes
senakunja,
,nafis's den
,eastern rose
kismot motors,
mayer doa dui bhai store,
,ratuls home
,mukit's place
,
dhakaiya kabab and soup,
,
,sf tower
,home is where the meme is
banglalink digital communications limited,tiger's den
burger lab,
aponjon coffee,fast food & kabab
anwar landmark west wind point,
azimpur bus stand,
bashundhara gate bus stand,
khilkhet bus stand,
,
dhaka commerce college,
dbbl fast track,
,rifat's place
,ysf mess
technology source limited,
,
loca café,
cafe cherry drops,
,
euro hospital canteen,holy family hospital
bangladesh institute of bank management,
independent university bangladesh (iub),
brac university,
sirajdikhan upazila health complex,
bangabandhu international convention center (bicc),
,residence
bashundhara city shopping mall,
tejgaon college,
,
national institute of neurosciences & hospital,
t&t girls school,
,
dhaka residential school and college,
,joint quarter
,
,
,
,
,canada building
kakrail bus stand,
,
city bank atm mohammadpur,atm
champa parul high school,
,
bhai bhai restaurant,
sos hermann gmeiner school,
shah ali plaza,
kalishi mor,
palashnagar mor,
shwapno life kazipara,
,
rosher fota,
trust bank atm booth,
,ruby rose
shah ali mazar,
kakrail masjid,
bfc,
neverland - the urban escape,
bashabo buddha mandir bus stop,
bashabo balur math,
bashabo bus stop,
proshika mor,
badda bus stop,
rampura bridge bus stand,
banasree bus stand,
malibagh mor bus stand,
kakrail mor bus stand,
shahbagh bus stand,
ghost riderz cafe,
break bite,
polash cobbler (muchi),
trust filling station,
,
fortuna tikatuli,chowdhury shopping mall
ffc,takia center
fortuna banasree,
city hospital limited,
green life medical college and hospital,
square hospital limited,
vision eye hospital dhanmondi,
al-sami hospital badda,
universal medical college & hospital mohakhali,
aalok health care limited mirpur,rajanigandha tower
shima general hospital savar,
rose clinic & diagnostic center savar,
lab zone hospital private limited savar,
victoria health care limited mohammadpur,
opsodent dental gulshan,
classic dental care badda,
pearl dental surgery mohammadpur,
concious dental surgery mohammadpur,
hokkaido dental care uttara,
noor oral & dental clinic mouchak,
dhaka eye care hospital,
mutual trust bank(mtb) fulbaria,annexco tower
mutual trust bank (mtb),abdul monem business center
mutual trust bank (mtb) katabon atm booth,
ashan manjil,
lalbagh fort (lalbagh kella),
ministry of home affairs,bangladesh secretariat
bangladesh tourism board,finance corporation bhaban
muktijoddha murad community center,
bangladesh solar energy society,institute of renewable energy
bangladesh telecommunication regulatlngory commission (btrc),
dhaka district commissioner office,
supreme court of bangladesh,
dhaka south,
dhaka electric supply company limited (desco),
bangladesh fire service and civil defence,demra fire station
prime minister's office (pmo),old sangsad bhaban
desco,probin bhaban
bureau of economic research,
bureau of research testing and consultation (brtc),civil engineering department
